_timestamp,count,pos,neg,neu,avg_score,neg_ratio,pos_ratio
2025-01-05 00:00:00+00:00,5,2,2,1,0.0,0.4,0.4
2025-01-12 00:00:00+00:00,7,4,0,3,0.5714285714285714,0.0,0.5714285714285714
2025-01-19 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-01-26 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2025-02-02 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2025-02-09 00:00:00+00:00,7,4,0,3,0.5714285714285714,0.0,0.5714285714285714
2025-02-16 00:00:00+00:00,7,3,0,4,0.42857142857142855,0.0,0.42857142857142855
2025-02-23 00:00:00+00:00,7,4,1,2,0.42857142857142855,0.14285714285714285,0.5714285714285714
2025-03-02 00:00:00+00:00,7,4,2,1,0.2857142857142857,0.2857142857142857,0.5714285714285714
2025-03-09 00:00:00+00:00,7,4,1,2,0.42857142857142855,0.14285714285714285,0.5714285714285714
2025-03-16 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2025-03-23 00:00:00+00:00,7,4,1,2,0.42857142857142855,0.14285714285714285,0.5714285714285714
2025-03-30 00:00:00+00:00,7,2,2,3,0.0,0.2857142857142857,0.2857142857142857
2025-04-06 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2025-04-13 00:00:00+00:00,7,3,3,1,0.0,0.42857142857142855,0.42857142857142855
2025-04-20 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-04-27 00:00:00+00:00,7,7,0,0,1.0,0.0,1.0
2025-05-04 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-05-11 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2025-05-18 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-05-25 00:00:00+00:00,7,7,0,0,1.0,0.0,1.0
2025-06-01 00:00:00+00:00,7,4,3,0,0.14285714285714285,0.42857142857142855,0.5714285714285714
2025-06-08 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-06-15 00:00:00+00:00,7,2,2,3,0.0,0.2857142857142857,0.2857142857142857
2025-06-22 00:00:00+00:00,7,4,2,1,0.2857142857142857,0.2857142857142857,0.5714285714285714
2025-06-29 00:00:00+00:00,7,3,2,2,0.14285714285714285,0.2857142857142857,0.42857142857142855
2025-07-06 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2025-07-13 00:00:00+00:00,7,3,3,1,0.0,0.42857142857142855,0.42857142857142855
2025-07-20 00:00:00+00:00,7,7,0,0,1.0,0.0,1.0
2025-07-27 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2025-08-03 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2025-08-10 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-08-17 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2025-08-24 00:00:00+00:00,7,4,1,2,0.42857142857142855,0.14285714285714285,0.5714285714285714
2025-08-31 00:00:00+00:00,7,5,2,0,0.42857142857142855,0.2857142857142857,0.7142857142857143
2025-09-07 00:00:00+00:00,7,3,1,3,0.2857142857142857,0.14285714285714285,0.42857142857142855
2025-09-14 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2025-09-21 00:00:00+00:00,7,1,4,2,-0.42857142857142855,0.5714285714285714,0.14285714285714285
2025-09-28 00:00:00+00:00,7,3,2,2,0.14285714285714285,0.2857142857142857,0.42857142857142855
2025-10-05 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2025-10-12 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2025-10-19 00:00:00+00:00,7,6,1,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
2025-10-26 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2025-11-02 00:00:00+00:00,7,4,2,1,0.2857142857142857,0.2857142857142857,0.5714285714285714
2025-11-09 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2025-11-16 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2025-11-23 00:00:00+00:00,7,7,0,0,1.0,0.0,1.0
2025-11-30 00:00:00+00:00,7,4,0,3,0.5714285714285714,0.0,0.5714285714285714
2025-12-07 00:00:00+00:00,7,2,2,3,0.0,0.2857142857142857,0.2857142857142857
2025-12-14 00:00:00+00:00,7,2,4,1,-0.2857142857142857,0.5714285714285714,0.2857142857142857
2025-12-21 00:00:00+00:00,7,3,1,3,0.2857142857142857,0.14285714285714285,0.42857142857142855
2025-12-28 00:00:00+00:00,7,3,2,2,0.14285714285714285,0.2857142857142857,0.42857142857142855
2026-01-04 00:00:00+00:00,7,7,0,0,1.0,0.0,1.0
2026-01-11 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2026-01-18 00:00:00+00:00,7,4,3,0,0.14285714285714285,0.42857142857142855,0.5714285714285714
2026-01-25 00:00:00+00:00,7,1,4,2,-0.42857142857142855,0.5714285714285714,0.14285714285714285
2026-02-01 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2026-02-08 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2026-02-15 00:00:00+00:00,7,4,2,1,0.2857142857142857,0.2857142857142857,0.5714285714285714
2026-02-22 00:00:00+00:00,7,4,3,0,0.14285714285714285,0.42857142857142855,0.5714285714285714
2026-03-01 00:00:00+00:00,7,4,0,3,0.5714285714285714,0.0,0.5714285714285714
2026-03-08 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2026-03-15 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2026-03-22 00:00:00+00:00,7,5,0,2,0.7142857142857143,0.0,0.7142857142857143
2026-03-29 00:00:00+00:00,7,3,1,3,0.2857142857142857,0.14285714285714285,0.42857142857142855
2026-04-05 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2026-04-12 00:00:00+00:00,7,5,1,1,0.5714285714285714,0.14285714285714285,0.7142857142857143
2026-04-19 00:00:00+00:00,7,5,2,0,0.42857142857142855,0.2857142857142857,0.7142857142857143
2026-04-26 00:00:00+00:00,7,0,5,2,-0.7142857142857143,0.7142857142857143,0.0
2026-05-03 00:00:00+00:00,7,0,5,2,-0.7142857142857143,0.7142857142857143,0.0
2026-05-10 00:00:00+00:00,7,1,5,1,-0.5714285714285714,0.7142857142857143,0.14285714285714285
2026-05-17 00:00:00+00:00,7,4,2,1,0.2857142857142857,0.2857142857142857,0.5714285714285714
2026-05-24 00:00:00+00:00,7,2,3,2,-0.14285714285714285,0.42857142857142855,0.2857142857142857
2026-05-31 00:00:00+00:00,7,1,4,2,-0.42857142857142855,0.5714285714285714,0.14285714285714285
2026-06-07 00:00:00+00:00,7,0,4,3,-0.5714285714285714,0.5714285714285714,0.0
2026-06-14 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2026-06-21 00:00:00+00:00,7,1,3,3,-0.2857142857142857,0.42857142857142855,0.14285714285714285
2026-06-28 00:00:00+00:00,7,2,2,3,0.0,0.2857142857142857,0.2857142857142857
2026-07-05 00:00:00+00:00,7,1,3,3,-0.2857142857142857,0.42857142857142855,0.14285714285714285
2026-07-12 00:00:00+00:00,7,3,3,1,0.0,0.42857142857142855,0.42857142857142855
2026-07-19 00:00:00+00:00,7,1,0,6,0.14285714285714285,0.0,0.14285714285714285
2026-07-26 00:00:00+00:00,7,1,4,2,-0.42857142857142855,0.5714285714285714,0.14285714285714285
2026-08-02 00:00:00+00:00,7,0,5,2,-0.7142857142857143,0.7142857142857143,0.0
2026-08-09 00:00:00+00:00,7,0,5,2,-0.7142857142857143,0.7142857142857143,0.0
2026-08-16 00:00:00+00:00,7,0,5,2,-0.7142857142857143,0.7142857142857143,0.0
2026-08-23 00:00:00+00:00,7,0,5,2,-0.7142857142857143,0.7142857142857143,0.0
2026-08-30 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2026-09-06 00:00:00+00:00,7,0,0,7,0.0,0.0,0.0
2026-09-13 00:00:00+00:00,7,0,3,4,-0.42857142857142855,0.42857142857142855,0.0
2026-09-20 00:00:00+00:00,7,1,4,2,-0.42857142857142855,0.5714285714285714,0.14285714285714285
2026-09-27 00:00:00+00:00,7,0,6,1,-0.8571428571428571,0.8571428571428571,0.0
2026-10-04 00:00:00+00:00,7,3,3,1,0.0,0.42857142857142855,0.42857142857142855
2026-10-11 00:00:00+00:00,7,1,6,0,-0.7142857142857143,0.8571428571428571,0.14285714285714285
2026-10-18 00:00:00+00:00,7,0,3,4,-0.42857142857142855,0.42857142857142855,0.0
2026-10-25 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2026-11-01 00:00:00+00:00,7,0,0,7,0.0,0.0,0.0
2026-11-08 00:00:00+00:00,7,1,0,6,0.14285714285714285,0.0,0.14285714285714285
2026-11-15 00:00:00+00:00,7,0,4,3,-0.5714285714285714,0.5714285714285714,0.0
2026-11-22 00:00:00+00:00,7,1,5,1,-0.5714285714285714,0.7142857142857143,0.14285714285714285
2026-11-29 00:00:00+00:00,7,4,3,0,0.14285714285714285,0.42857142857142855,0.5714285714285714
2026-12-06 00:00:00+00:00,7,4,0,3,0.5714285714285714,0.0,0.5714285714285714
2026-12-13 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2026-12-20 00:00:00+00:00,7,0,0,7,0.0,0.0,0.0
2026-12-27 00:00:00+00:00,7,3,3,1,0.0,0.42857142857142855,0.42857142857142855
2027-01-03 00:00:00+00:00,7,1,3,3,-0.2857142857142857,0.42857142857142855,0.14285714285714285
2027-01-10 00:00:00+00:00,7,2,3,2,-0.14285714285714285,0.42857142857142855,0.2857142857142857
2027-01-17 00:00:00+00:00,7,4,1,2,0.42857142857142855,0.14285714285714285,0.5714285714285714
2027-01-24 00:00:00+00:00,7,2,1,4,0.14285714285714285,0.14285714285714285,0.2857142857142857
2027-01-31 00:00:00+00:00,7,2,0,5,0.2857142857142857,0.0,0.2857142857142857
2027-02-07 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2027-02-14 00:00:00+00:00,7,4,2,1,0.2857142857142857,0.2857142857142857,0.5714285714285714
2027-02-21 00:00:00+00:00,7,2,1,4,0.14285714285714285,0.14285714285714285,0.2857142857142857
2027-02-28 00:00:00+00:00,7,1,1,5,0.0,0.14285714285714285,0.14285714285714285
2027-03-07 00:00:00+00:00,7,0,7,0,-1.0,1.0,0.0
2027-03-14 00:00:00+00:00,7,4,3,0,0.14285714285714285,0.42857142857142855,0.5714285714285714
2027-03-21 00:00:00+00:00,7,0,3,4,-0.42857142857142855,0.42857142857142855,0.0
2027-03-28 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2027-04-04 00:00:00+00:00,7,2,3,2,-0.14285714285714285,0.42857142857142855,0.2857142857142857
2027-04-11 00:00:00+00:00,7,1,2,4,-0.14285714285714285,0.2857142857142857,0.14285714285714285
2027-04-18 00:00:00+00:00,7,0,1,6,-0.14285714285714285,0.14285714285714285,0.0
2027-04-25 00:00:00+00:00,7,1,5,1,-0.5714285714285714,0.7142857142857143,0.14285714285714285
2027-05-02 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2027-05-09 00:00:00+00:00,7,6,0,1,0.8571428571428571,0.0,0.8571428571428571
2027-05-16 00:00:00+00:00,7,7,0,0,1.0,0.0,1.0
